Country,Province/Territory,District/Agency,Region/Type,Date,Indicators,Values,Unit
Pakistan,Balochistan,Harnai,District,2010,Middle and Secondary Schools with Electricity in Rural Areas by District,7,Number
Pakistan,Balochistan,Harnai,District,2010,Middle and Secondary Schools with Electricity in Urban Areas by District,4,Number
Pakistan,Balochistan,Harnai,District,2010,Middle and Secondary Schools with Student Latrines Facility in Rural Areas by District,6,Number
Pakistan,Balochistan,Harnai,District,2010,Middle and Secondary Schools with Student Latrines Facility in Urban Areas by District,3,Number
Pakistan,Balochistan,Harnai,District,2010,Primary Schools with Drinking Water Facility in Rural Areas by District,106,Number
Pakistan,Balochistan,Harnai,District,2010,Primary Schools with Drinking Water Facility in Urban Areas by District,11,Number
Pakistan,Balochistan,Harnai,District,2010,Primary Schools with Electricity in Rural Areas by District,27,Number
Pakistan,Balochistan,Harnai,District,2010,Primary Schools with Electricity in Urban Areas by District,3,Number
Pakistan,Balochistan,Harnai,District,2010,Primary Schools with Latrines Facility in Rural Areas by District,50,Number
Pakistan,Balochistan,Harnai,District,2010,Primary Schools with Latrines Facility in Urban Areas by District,4,Number
Pakistan,Balochistan,Harnai,District,2010,Rural-Public Sector Educational Institutions,151,Number
Pakistan,Balochistan,Harnai,District,2010,Students in Middle and Secondary Schools of Rural Areas by District,1634,Number
Pakistan,Balochistan,Harnai,District,2010,Students in Middle and Secondary Schools of Urban Areas by District,2008,Number
Pakistan,Balochistan,Harnai,District,2010,Students in Primary Schools of Rural Areas by District,5235,Number
Pakistan,Balochistan,Harnai,District,2010,Students in Primary Schools of Urban Areas by District,1024,Number
Pakistan,Balochistan,Harnai,District,2010,Teachers in Middle and Secondary Schools of Rural Areas by District,147,Number
Pakistan,Balochistan,Harnai,District,2010,Teachers in Middle and Secondary Schools of Urban Areas by District,76,Number
Pakistan,Balochistan,Harnai,District,2010,Teachers in Primary Schools of Rural Areas by District,209,Number
Pakistan,Balochistan,Harnai,District,2010,Teachers in Primary Schools of Urban Areas by District,42,Number
Pakistan,Balochistan,Harnai,District,2010,Total Boys Middle and Secondary Schools in Rural Areas by District,8,Number
Pakistan,Balochistan,Harnai,District,2010,Total Boys Primary Schools in Rural Areas by District,82,Number
Pakistan,Balochistan,Harnai,District,2010,Total Boys Primary Schools in Urban Areas by District,8,Number
Pakistan,Balochistan,Harnai,District,2010,Total Girls Middle and Secondary Schools in Rural Areas by District,3,Number
Pakistan,Balochistan,Harnai,District,2010,Total Girls Primary Schools in Rural Areas by District,58,Number
Pakistan,Balochistan,Harnai,District,2010,Total Girls Primary Schools in Urban Areas by District,4,Number
Pakistan,Balochistan,Harnai,District,2010,Total Middle and Secondary Schools in Rural Areas by District,11,Number
Pakistan,Balochistan,Harnai,District,2010,Total Middle and Secondary Schools in Urban Areas by District,4,Number
Pakistan,Balochistan,Harnai,District,2010,Total Primary Schools in Rural Areas by District,140,Number
Pakistan,Balochistan,Harnai,District,2010,Total Primary Schools in Urban Areas by District,12,Number
Pakistan,Balochistan,Harnai,District,2010,Total-Public Sector Educational Institutions,167,Number
Pakistan,Balochistan,Harnai,District,2010,Urban-Public Sector Educational Institutions,16,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,5554,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,2617,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Enrolment at Primary Stage in Rural Areas by District,32106,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Enrolment at Primary Stage in Urban Areas by District,6090,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Middle and Secondary Schools in Urban Areas by District,7,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,18,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,38,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,7,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,39,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,6,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,4,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,430,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Primary Schools with Drinking Water Facility in Urban Areas by District,17,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Primary Schools with Electricity in Rural Areas by District,86,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Primary Schools with Electricity in Urban Areas by District,8,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Primary Schools with Latrines Facility in Rural Areas by District,41,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Boys Primary Schools with Latrines Facility in Urban Areas by District,3,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Enrolment at Middle and Secondary Stage in Rural Areas by District,588,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Enrolment at Middle and Secondary Stage in Urban Areas by District,1659,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Enrolment at Primary Stage in Rural Areas by District,11700,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Enrolment at Primary Stage in Urban Areas by District,4378,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Middle and Secondary Schools in Urban Areas by District,7,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,7,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,9,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,5,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Middle and Secondary Schools with Electricity in Rural Areas by District,5,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Middle and Secondary Schools with Electricity in Urban Areas by District,6,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,7,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Primary Schools with Drinking Water Facility in Rural Areas by District,218,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Primary Schools with Drinking Water Facility in Urban Areas by District,14,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Primary Schools with Electricity in Rural Areas by District,20,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Primary Schools with Electricity in Urban Areas by District,4,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Primary Schools with Latrines Facility in Rural Areas by District,64,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Girls Primary Schools with Latrines Facility in Urban Areas by District,6,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,47,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,12,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Middle and Secondary Schools with Electricity in Rural Areas by District,44,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Middle and Secondary Schools with Electricity in Urban Areas by District,12,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Middle and Secondary Schools with Student Latrines Facility in Rural Areas by District,25,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Middle and Secondary Schools with Student Latrines Facility in Urban Areas by District,11,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Primary Schools with Drinking Water Facility in Rural Areas by District,648,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Primary Schools with Drinking Water Facility in Urban Areas by District,31,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Primary Schools with Electricity in Rural Areas by District,106,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Primary Schools with Electricity in Urban Areas by District,12,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Primary Schools with Latrines Facility in Rural Areas by District,105,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Primary Schools with Latrines Facility in Urban Areas by District,9,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Rural-Public Sector Educational Institutions,844,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Students in Middle and Secondary Schools of Rural Areas by District,15764,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Students in Middle and Secondary Schools of Urban Areas by District,10270,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Students in Primary Schools of Rural Areas by District,34184,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Students in Primary Schools of Urban Areas by District,4474,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Teachers in Middle and Secondary Schools of Rural Areas by District,991,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Teachers in Middle and Secondary Schools of Urban Areas by District,348,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Teachers in Primary Schools of Rural Areas by District,1125,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Teachers in Primary Schools of Urban Areas by District,139,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Boys Middle and Secondary Schools in Rural Areas by District,52,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Boys Primary Schools in Rural Areas by District,551,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Boys Primary Schools in Urban Areas by District,20,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Girls Middle and Secondary Schools in Rural Areas by District,11,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Girls Primary Schools in Rural Areas by District,230,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Girls Primary Schools in Urban Areas by District,15,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Middle and Secondary Schools in Rural Areas by District,63,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Middle and Secondary Schools in Urban Areas by District,14,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Primary Schools in Rural Areas by District,781,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total Primary Schools in Urban Areas by District,35,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Total-Public Sector Educational Institutions,893,Number
Pakistan,Balochistan,Jaffarabad,District,2010,Urban-Public Sector Educational Institutions,49,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,608,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,449,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Enrolment at Primary Stage in Rural Areas by District,7827,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Enrolment at Primary Stage in Urban Areas by District,751,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Middle and Secondary Schools in Urban Areas by District,3,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,9,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,20,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,3,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,7,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,2,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,1,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,115,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Primary Schools with Drinking Water Facility in Urban Areas by District,5,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Primary Schools with Electricity in Rural Areas by District,4,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Primary Schools with Electricity in Urban Areas by District,6,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Primary Schools with Latrines Facility in Rural Areas by District,8,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Boys Primary Schools with Latrines Facility in Urban Areas by District,3,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Enrolment at Middle and Secondary Stage in Rural Areas by District,99,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Enrolment at Middle and Secondary Stage in Urban Areas by District,185,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Enrolment at Primary Stage in Rural Areas by District,4637,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Enrolment at Primary Stage in Urban Areas by District,675,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Middle and Secondary Schools in Urban Areas by District,2,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,2,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,4,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,2,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Middle and Secondary Schools with Electricity in Urban Areas by District,1,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,2,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Primary Schools with Drinking Water Facility in Rural Areas by District,48,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Primary Schools with Drinking Water Facility in Urban Areas by District,4,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Primary Schools with Latrines Facility in Rural Areas by District,14,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Girls Primary Schools with Latrines Facility in Urban Areas by District,1,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,24,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,5,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Middle and Secondary Schools with Electricity in Rural Areas by District,7,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Middle and Secondary Schools with Electricity in Urban Areas by District,3,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Middle and Secondary Schools with Student Latrines Facility in Rural Areas by District,11,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Middle and Secondary Schools with Student Latrines Facility in Urban Areas by District,3,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Primary Schools with Drinking Water Facility in Rural Areas by District,163,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Primary Schools with Drinking Water Facility in Urban Areas by District,9,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Primary Schools with Electricity in Rural Areas by District,4,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Primary Schools with Electricity in Urban Areas by District,6,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Primary Schools with Latrines Facility in Rural Areas by District,22,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Primary Schools with Latrines Facility in Urban Areas by District,4,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Rural-Public Sector Educational Institutions,246,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Students in Middle and Secondary Schools of Rural Areas by District,3584,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Students in Middle and Secondary Schools of Urban Areas by District,1199,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Students in Primary Schools of Rural Areas by District,9587,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Students in Primary Schools of Urban Areas by District,861,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Teachers in Middle and Secondary Schools of Rural Areas by District,378,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Teachers in Middle and Secondary Schools of Urban Areas by District,115,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Teachers in Primary Schools of Rural Areas by District,338,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Teachers in Primary Schools of Urban Areas by District,31,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Boys Middle and Secondary Schools in Rural Areas by District,24,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Boys Primary Schools in Rural Areas by District,150,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Boys Primary Schools in Urban Areas by District,6,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Girls Middle and Secondary Schools in Rural Areas by District,5,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Girls Primary Schools in Rural Areas by District,67,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Girls Primary Schools in Urban Areas by District,4,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Middle and Secondary Schools in Rural Areas by District,29,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Middle and Secondary Schools in Urban Areas by District,5,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Primary Schools in Rural Areas by District,217,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total Primary Schools in Urban Areas by District,10,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Total-Public Sector Educational Institutions,261,Number
Pakistan,Balochistan,Jhal Magsi,District,2010,Urban-Public Sector Educational Institutions,15,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,1277,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,1815,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Enrolment at Primary Stage in Rural Areas by District,12610,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Enrolment at Primary Stage in Urban Areas by District,3083,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Middle and Secondary Schools in Urban Areas by District,6,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,9,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,11,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,5,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,15,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,5,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,4,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,155,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Primary Schools with Drinking Water Facility in Urban Areas by District,10,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Primary Schools with Electricity in Rural Areas by District,12,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Primary Schools with Electricity in Urban Areas by District,4,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Primary Schools with Latrines Facility in Rural Areas by District,25,Number
Pakistan,Balochistan,Kachhi,District,2010,Boys Primary Schools with Latrines Facility in Urban Areas by District,3,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Enrolment at Middle and Secondary Stage in Rural Areas by District,218,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Enrolment at Middle and Secondary Stage in Urban Areas by District,1068,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Enrolment at Primary Stage in Rural Areas by District,8262,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Enrolment at Primary Stage in Urban Areas by District,2523,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Middle and Secondary Schools in Urban Areas by District,6,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,4,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,5,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,6,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Middle and Secondary Schools with Electricity in Rural Areas by District,4,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Middle and Secondary Schools with Electricity in Urban Areas by District,4,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,6,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Primary Schools with Drinking Water Facility in Rural Areas by District,32,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Primary Schools with Drinking Water Facility in Urban Areas by District,3,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Primary Schools with Electricity in Rural Areas by District,11,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Primary Schools with Electricity in Urban Areas by District,1,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Primary Schools with Latrines Facility in Rural Areas by District,33,Number
Pakistan,Balochistan,Kachhi,District,2010,Girls Primary Schools with Latrines Facility in Urban Areas by District,5,Number
Pakistan,Balochistan,Kachhi,District,2010,Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,15,Number
Pakistan,Balochistan,Kachhi,District,2010,Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,11,Number
Pakistan,Balochistan,Kachhi,District,2010,Middle and Secondary Schools with Electricity in Rural Areas by District,19,Number
Pakistan,Balochistan,Kachhi,District,2010,Middle and Secondary Schools with Electricity in Urban Areas by District,9,Number
Pakistan,Balochistan,Kachhi,District,2010,Middle and Secondary Schools with Student Latrines Facility in Rural Areas by District,14,Number
Pakistan,Balochistan,Kachhi,District,2010,Middle and Secondary Schools with Student Latrines Facility in Urban Areas by District,10,Number
Pakistan,Balochistan,Kachhi,District,2010,Primary Schools with Drinking Water Facility in Rural Areas by District,187,Number
Pakistan,Balochistan,Kachhi,District,2010,Primary Schools with Drinking Water Facility in Urban Areas by District,13,Number
Pakistan,Balochistan,Kachhi,District,2010,Primary Schools with Electricity in Rural Areas by District,23,Number
Pakistan,Balochistan,Kachhi,District,2010,Primary Schools with Electricity in Urban Areas by District,5,Number
Pakistan,Balochistan,Kachhi,District,2010,Primary Schools with Latrines Facility in Rural Areas by District,58,Number
Pakistan,Balochistan,Kachhi,District,2010,Primary Schools with Latrines Facility in Urban Areas by District,8,Number
Pakistan,Balochistan,Kachhi,District,2010,Rural-Public Sector Educational Institutions,367,Number
Pakistan,Balochistan,Kachhi,District,2010,Students in Middle and Secondary Schools of Rural Areas by District,4876,Number
Pakistan,Balochistan,Kachhi,District,2010,Students in Middle and Secondary Schools of Urban Areas by District,5760,Number
Pakistan,Balochistan,Kachhi,District,2010,Students in Primary Schools of Rural Areas by District,17491,Number
Pakistan,Balochistan,Kachhi,District,2010,Students in Primary Schools of Urban Areas by District,2729,Number
Pakistan,Balochistan,Kachhi,District,2010,Teachers in Middle and Secondary Schools of Rural Areas by District,497,Number
Pakistan,Balochistan,Kachhi,District,2010,Teachers in Middle and Secondary Schools of Urban Areas by District,252,Number
Pakistan,Balochistan,Kachhi,District,2010,Teachers in Primary Schools of Rural Areas by District,580,Number
Pakistan,Balochistan,Kachhi,District,2010,Teachers in Primary Schools of Urban Areas by District,116,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Boys Middle and Secondary Schools in Rural Areas by District,25,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Boys Primary Schools in Rural Areas by District,278,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Boys Primary Schools in Urban Areas by District,23,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Girls Middle and Secondary Schools in Rural Areas by District,6,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Girls Primary Schools in Rural Areas by District,58,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Girls Primary Schools in Urban Areas by District,7,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Middle and Secondary Schools in Rural Areas by District,31,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Middle and Secondary Schools in Urban Areas by District,12,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Primary Schools in Rural Areas by District,336,Number
Pakistan,Balochistan,Kachhi,District,2010,Total Primary Schools in Urban Areas by District,30,Number
Pakistan,Balochistan,Kachhi,District,2010,Total-Public Sector Educational Institutions,409,Number
Pakistan,Balochistan,Kachhi,District,2010,Urban-Public Sector Educational Institutions,42,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,1234,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,1512,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Enrolment at Primary Stage in Rural Areas by District,9791,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Enrolment at Primary Stage in Urban Areas by District,3923,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Middle and Secondary Schools in Urban Areas by District,8,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,13,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,14,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,7,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,13,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,7,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,8,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,56,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Primary Schools with Drinking Water Facility in Urban Areas by District,18,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Primary Schools with Electricity in Rural Areas by District,4,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Primary Schools with Electricity in Urban Areas by District,1,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Primary Schools with Latrines Facility in Rural Areas by District,42,Number
Pakistan,Balochistan,Kalat,District,2010,Boys Primary Schools with Latrines Facility in Urban Areas by District,16,Number
Pakistan,Balochistan,Kalat,District,2010,Girls Enrolment at Middle and Secondary Stage in Rural Areas by District,424,Number
Pakistan,Balochistan,Kalat,District,2010,Girls Enrolment at Middle and Secondary Stage in Urban Areas by District,1317,Number
Pakistan,Balochistan,Kalat,District,2010,Girls Enrolment at Primary Stage in Rural Areas by District,10464,Number
Pakistan,Balochistan,Kalat,District,2010,Girls Enrolment at Primary Stage in Urban Areas by District,4507,Number
Pakistan,Balochistan,Kalat,District,2010,Girls Middle and Secondary Schools in Urban Areas by District,9,Number
Pakistan,Balochistan,Kalat,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,2,Number
Pakistan,Balochistan,Kalat,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,6,Number
